time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
0.18,-0.005428819456586939,0.002872070530050186,0.0,0.1451927616596489,0.1323762414131915,0.0,-0.14479466762171128,0.08832680915557328,-0.09309662091731326,0.7225633365754189,-1.2554595738697174,0.0,448.76646849884446,440.0754422927006,440.0338069315958,440.5078034820826,1,4.170968435184908
0.18,-0.006394551760204238,1.4561368240293305e-05,0.0,0.03534181831765082,0.6240173155687794,0.0,-0.1393577562068665,0.0010384359195153273,-0.7496453882510119,0.3608122058284656,-2.5561519093001484,0.0,228.83321258839104,136.67822664017052,169.70926817863426,246.5506007851449,2,4.1675919490987905
2.1000000000000014,-2.177266974163792,3.6361185821181032,0.0,3.8436317859439217,1.8862175572916158,0.0,-3.844202982487915,5.058565115003658,-6.324031886339326,5.957088148150804,4.136484184632994,0.0,198.59795002870823,287.98301126954544,191.72560660358184,333.754813119727,3,60.079361285150654
0.12000000000000001,-1.9107674247476453e-05,2.6732958530860737e-05,0.0,0.04092243080580804,0.016307763470940984,0.0,-0.0010416551446313428,0.0016681054298842615,-0.3035316570560631,0.43846314310196144,-0.3667875233387415,0.0,217.7636498357622,142.11363231110775,171.50767337080526,247.9406149005322,4,2.7854569958567614
0.18,-0.005399544974209573,0.0028918424161269714,0.0,0.14600179724782247,0.13125040357005613,0.0,-0.14396023160706317,0.08889324319265113,-0.09234073833464843,0.7271204134781414,-1.2497304217472074,0.0,448.6776874117175,440.3807144887559,440.13062350689376,440.65208980270165,5,4.171002186092895
0.18,-0.005427804219326227,0.0029065285420976123,0.0,0.1468216345632527,0.13213311231321523,0.0,-0.14474601962026007,0.0893171969920242,-0.09290052027396689,0.7362967668096577,-1.2539690869185414,0.0,448.54467899184255,440.1751819031268,440.0110037814107,441.00928545123196,6,4.1709303704765315
0.18,-0.005403543533261625,0.0029289501568905895,0.0,0.14777961944893026,0.13125243033792788,0.0,-0.14406455877551397,0.08995356186583207,-0.09202520511863052,0.7419978198435268,-1.2512037171102077,0.0,448.45614758569644,440.21493236246016,440.1467711007802,441.2269532728859,7,4.171033825352234
0.12000000000000001,-1.781518666800745e-05,2.559111727366479e-05,0.0,0.040415376321622176,0.015867229339060707,0.0,-0.0010038810825078737,0.001631155112324619,-0.3034986110684959,0.43276284172547513,-0.3704847580411433,0.0,217.72700463365504,142.24595842979159,171.90569500203162,248.11629276025207,8,2.7854362623012197
0.6000000000000002,-0.0018480877630531786,0.04114284413608534,0.0,1.5590985468957639,6.239358548297652,0.0,0.0027740168545724287,0.47868872535735996,-1.5509602179287665,4.748427207181181,-1.7743677070646833,0.0,262.4546239164313,155.93752031895136,172.98412692490217,346.4377294776465,9,14.967327463044956
0.12000000000000001,-1.2715468422203164e-05,1.2378725463591346e-05,0.0,0.024545827343279036,0.012811050044149397,0.0,-0.000686891890858762,0.0007773317286534974,-0.33049425141367184,0.3283351056459989,-0.3340504520898682,0.0,194.3762129495266,114.24606779890718,163.5041031229862,225.12247922487958,10,2.7851493517439967
