time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.0291166197327396e-08,5.432281322998126e-08,10.001616524082069,6.866147000916811e-05,6.283121750242392,0.0,4.28304767600729e-06,5.166826033447803e-06,0.053882586177075295,0.003340270926601929,-0.0032669612435768996,0.0,422.1149004872597,421.83295690280687,421.9114309186815,422.1996455438288
0.12000000000000001,3.101221092229993e-06,4.22133471337297e-06,10.014216669952429,0.0008625866460132414,6.282645555598187,0.0,0.00013967612191427702,0.0002068107955750219,0.3660745316184846,0.02796325347049633,-0.019461619441534336,0.0,499.92452146414763,498.74343100564914,499.22683661343166,501.01984883875843
0.18,2.6887523971713872e-05,4.30821551315124e-05,10.04107850728511,0.0025272385068886294,6.282481055759311,0.0,0.0007138862579249142,0.0012745981784409288,0.5292577715078919,0.027302515638182034,0.01861614981894027,0.0,454.6746823411498,457.7146898471227,457.17498887817953,457.1225207052935
0.23999999999999996,8.073826225018425e-05,0.00018226696987162823,10.077364206061477,0.0039815741008562,1.5099430626719368e-05,0.0,0.0009747387518487828,0.0035349810928386144,0.6801868590581486,0.017274551236802743,-0.006537238650584091,0.0,454.44864858564733,452.42819138439967,453.1366738609699,452.33001533920077
0.3,0.0001396193827734494,0.0004987516948653232,10.125491935395269,0.004562175223635556,0.00027401391118164753,0.0,0.0009888943724081344,0.007123116921286548,0.9239052826269221,-0.013319770738217076,0.020105770917607867,0.0,480.0694595331008,482.08653174146696,481.7779362200706,479.4594276719132
0.36000000000000004,0.00019106484089687328,0.00099659110293149,10.179199923737873,0.00393561868055059,0.0014082024241739433,0.0,0.0006337529548074397,0.00941606213960762,0.8664070972873602,-0.00523327415184765,0.016382575356805013,0.0,384.93217284937197,384.5797328070736,384.0372679666976,384.80353263178114
0.4200000000000001,0.00019658833606198175,0.001641183678916836,10.233964686150575,0.003967855630848227,0.0020069240958431322,0.0,-0.000534175168077215,0.012057826838404558,0.9590113625734049,0.010115807232503687,-0.007637268195876224,0.0,436.28632884370387,434.2764026508621,434.7269043077541,436.01097996059536
0.48000000000000015,0.0001232199079757229,0.002450917295513033,10.295001329698495,0.004507636560327377,0.0020676347232519987,0.0,-0.0018946653451627448,0.014992851591719423,1.075440535386408,0.006657752968783017,0.014300420329735733,0.0,442.5185209369408,444.3204782744151,442.7724265794637,442.4877568246899
0.5400000000000001,-3.841464021276104e-05,0.0034473838095914282,10.363028249230618,0.004850051082390117,0.003556275914146312,0.0,-0.003621301666493334,0.01826098282366258,1.1920083306329257,0.003733898475828974,0.040227499649047024,0.0,442.7697211956586,444.8974872693931,442.8819936505263,442.64137420515414
0.6000000000000002,-0.0003260516255998661,0.004629260025239534,10.434485395414342,0.0052647402048533465,0.005748623709095568,0.0,-0.006167811716721382,0.02116320309742544,1.189897715490153,0.012610240129433705,0.027897398883725263,0.0,404.7380772842166,403.6276891530811,404.7617520371514,405.55961986650163
0.6600000000000003,-0.0008377371200702168,0.006027624195645114,10.511608145367923,0.007232817246246803,0.007112171337730011,0.0,-0.011065623962838982,0.025623847261188794,1.3806476010645239,0.056861141423021844,0.009591122141157784,0.0,467.3534428458654,465.92458818352634,464.05738224449703,467.5179255670898
0.7200000000000003,-0.0016689519331140395,0.0077472563395816615,10.599924616616006,0.01087619755703706,0.007195572965920327,0.0,-0.01668885221494743,0.03209925216575621,1.5629994679163899,0.06750032110526304,-0.024963089179094552,0.0,465.3050367551848,462.5923019976016,463.9649604755524,464.801854298512
0.7800000000000004,-0.002818417510994795,0.009922176473688035,10.697469191914383,0.014682081299939753,0.005533460604978835,0.0,-0.021459086220923036,0.04081304759665715,1.688305385214337,0.05371398774799458,-0.03383434231227218,0.0,447.1480571368167,446.4246345470473,448.3124728464708,447.19383598282315
0.8400000000000004,-0.004213759311028085,0.012688062017374201,10.80186654685566,0.01782948456487965,0.00406716398236906,0.0,-0.024877132552681074,0.05170720507863613,1.7914457714233496,0.049816582170270754,-0.010274063211971695,0.0,439.97109453444403,441.9171008592255,440.6568187126991,440.3363623537648
0.9000000000000005,-0.005792647552561819,0.01619083990067883,10.913439234407408,0.021294704189585012,0.00370471876528633,0.0,-0.027700292129845556,0.06539798286988711,1.9274175338696526,0.0701700415604392,0.001308233794529923,0.0,451.31498385277024,452.24888385694146,450.0174752592383,451.6640408855021
0.9600000000000005,-0.007519047756135078,0.020497599890030235,11.028747858534393,0.02597938728641669,0.003533497044059253,0.0,-0.029843929795537405,0.07854442835407874,1.9162127355019758,0.09045646925628718,-0.012848079974382254,0.0,404.9318420990683,403.65647496736517,402.62986767918227,404.46634151825504
1.0200000000000005,-0.00938763613917883,0.025818032585302048,11.148582832782001,0.03137567128775132,0.0037172149440856117,0.0,-0.03242114586301429,0.09939709446709491,2.0779886520287305,0.08888132919197572,0.02373211769167574,0.0,458.799515504595,461.69451746442263,459.1581127637894,459.039623149959
1.0800000000000005,-0.011419008148927039,0.03248219377651261,11.277239424985053,0.03635114851310828,0.00497031196242137,0.0,-0.03543400981189027,0.12328796955591786,2.210297198127973,0.06704796995495738,0.014477429583151416,0.0,451.98191680465675,451.2354556303117,451.8727582612989,450.1146907315797
1.1400000000000006,-0.013638640695894435,0.04055141723548083,11.410307016882571,0.04036473561469833,0.006376087426142263,0.0,-0.03865914317996568,0.14604399627279857,2.2252439424264896,0.06658176198200928,0.037076357822693855,0.0,413.5779844078275,415.56370228739456,413.64713635637,413.609786961423
